"","kill_num","species","dod","utm_e","utm_n","age","year","month","day","jday","season","long","lat"
"1","20790","unk deer",2014-11-10,526714,4986083,"young",2014,11,10,314,"fall",-110.660892234775,45.0276959167419
"2","20509","elk",2015-01-07,532908,4982793,"young",2015,1,7,7,"winter",-110.582482676044,44.9978199068075
"3","10228","elk",2015-01-08,535790,4982629,"young",2015,1,8,8,"winter",-110.545930319897,44.9962041096937
"4","32157","mule deer",2015-01-19,522929,4979693,"unk",2015,1,19,19,"winter",-110.709229462727,44.9703068910936
"5","20719","elk",2015-01-20,540808,4980910,"unk",2015,1,20,20,"winter",-110.48240840245,44.9804595399067
"6","32195","wt deer",2015-01-26,535851,4982662,"young",2015,1,26,26,"winter",-110.545154083958,44.9964980845539
"7","20764","elk",2015-01-28,532991,4984591,"unk",2015,1,28,28,"winter",-110.581311764511,45.0140010676024
"8","10471","elk",2015-02-09,529020,4983647,"young",2015,2,9,40,"winter",-110.631761000454,45.0056770730378
"9","20792","elk",2015-02-09,529023,4983642,"young",2015,2,9,40,"winter",-110.631723222195,45.0056319416313
"10","10694","elk",2015-02-09,528556,4984763,"young",2015,2,9,40,"winter",-110.637585295572,45.0157418356174
"11","32614","mule deer",2015-03-08,532239,4981835,"young",2015,3,8,67,"winter",-110.591031674493,44.9892269852914
"12","10721","porcupine",2015-03-09,569061,4973873,"unk",2015,3,9,68,"winter",-110.12505530599,44.9149336654481
"13","33019","bh sheep",2015-12-27,545085,4978635,"yearling",2015,12,27,361,"winter",-110.428366753922,44.9597223359785
"14","50104","mule deer",2016-01-01,532266,4981762,"unk",2016,1,1,1,"winter",-110.59069385118,44.9885686331142
"15","33003","wt deer",2016-01-02,543417,4978528,"yearling",2016,1,2,2,"winter",-110.449523559985,44.9588630622293
"16","50056","mule deer",2016-01-03,528489,4985991,"unk",2016,1,3,3,"winter",-110.638366018282,45.026798635401
"17","50071","mule deer",2016-01-05,527102,4978180,"unk",2016,1,5,5,"winter",-110.656392404241,44.9565401407283
"18","70051","other",2016-01-07,548275,4795278,"unk",2016,1,7,7,"winter",-110.404740550954,43.3087869102527
"19","33104","elk",2016-01-08,537054,4981671,"old adult",2016,1,8,8,"winter",-110.529964908102,44.9875156581119
"20","70129","mule deer",2016-01-10,546723,4977290,"adult",2016,1,10,10,"winter",-110.407724170979,44.9475094563849
"21","70088","elk",2016-01-13,530780,4984800,"young",2016,1,13,13,"winter",-110.60935806183,45.0159818424023
"22","50109","elk",2016-01-16,525737,4985912,"young",2016,1,16,16,"winter",-110.67330283213,45.0261927705915
"23","50117","elk",2016-01-18,532339,4984425,"old adult",2016,1,18,18,"winter",-110.58959674372,45.012536824402
"24","33138","elk",2016-01-18,532341,4984413,"old adult",2016,1,18,18,"winter",-110.589572134586,45.01242871308
"25","33117","elk",2016-01-21,525158,4977813,"adult",2016,1,21,21,"winter",-110.681056945068,44.9533079521154
"26","70133","wt deer",2016-01-21,543255,4978367,"adult",2016,1,21,21,"winter",-110.45159124027,44.9574236893532
"27","70466","elk",2016-01-22,542427,4978628,"young",2016,1,22,22,"winter",-110.462066623168,44.9598230320691
"28","62","other",2016-01-23,530180,4984664,"adult",2016,1,23,23,"winter",-110.616980903397,45.0147834033936
"29","57","other",2016-01-26,555404,4974356,"adult",2016,1,26,26,"winter",-110.298010467042,44.9204757987167
"30","70210","mule deer",2016-01-29,544770,4978878,"unk",2016,1,29,29,"winter",-110.432338876351,44.9619296321301
"31","70229","mule deer",2016-01-29,544809,4978933,"yearling",2016,1,29,29,"winter",-110.431839513678,44.9624222580919
"32","50177","elk",2016-01-30,566700,4968077,"young",2016,1,30,30,"winter",-110.155727473923,44.8629883907557
"33","70235","other",2016-02-02,543450,4979020,"unk",2016,2,2,33,"winter",-110.44906279373,44.9632898181637
"34","70368","elk",2016-02-02,533459,4982189,"yearling",2016,2,2,33,"winter",-110.575532242874,44.9923571170133
"35","70485","elk",2016-02-03,544337,4977389,"young",2016,2,3,34,"winter",-110.437959685254,44.9485534600323
"36","70484","elk",2016-02-07,544256,4977607,"young",2016,2,7,38,"winter",-110.438967319779,44.9505208517957
"37","70257","elk",2016-02-08,540588,4982015,"young",2016,2,8,39,"winter",-110.485109641438,44.990418904538
"38","70475","elk",2016-02-12,538362,4982493,"young",2016,2,12,43,"winter",-110.5133107175,44.9948454943126
"39","71","mule deer",2016-02-13,528417,4985937,"young",2016,2,13,44,"winter",-110.639283007417,45.0263154335948
"40","70474","elk",2016-02-14,539153,4982449,"old adult",2016,2,14,45,"winter",-110.503279289884,44.9944062188225
"41","70473","mule deer",2016-02-17,540790,4981893,"young",2016,2,17,48,"winter",-110.482557100038,44.9893091308154
"42","50270","mule deer",2016-02-18,541054,4981193,"adult",2016,2,18,49,"winter",-110.479265309788,44.9829928048706
"43","70459","wt deer",2016-02-20,540850,4980765,"young",2016,2,20,51,"winter",-110.481887469211,44.9791518938087
"44","76","elk",2016-02-21,540306,4978479,"yearling",2016,2,21,52,"winter",-110.488969661827,44.958605288689
"45","70460","elk",2016-02-24,540412,4981223,"yearling",2016,2,24,55,"winter",-110.487405792498,44.9832996915947
"46","70467","elk",2016-03-01,542522,4978723,"young",2016,3,1,61,"winter",-110.46085415938,44.9606725034666
"47","33353","elk",2016-03-06,546844,4976507,"young",2016,3,6,66,"winter",-110.406263075434,44.9404532924972
"48","70472","elk",2016-03-10,543837,4977139,"young",2016,3,10,70,"winter",-110.444319374799,44.946334079542
"49","33354","elk",2016-03-15,543264,4978580,"young",2016,3,15,75,"winter",-110.451458870701,44.9593404778627
"50","33356","elk",2016-03-16,544962,4979045,"old adult",2016,3,16,76,"winter",-110.429889644628,44.9634207630615
"51","33361","elk",2016-03-26,539703,4980465,"adult",2016,3,26,86,"spring",-110.496458272361,44.9765164800127
"52","50373","mule deer",2016-03-27,537345,4981141,"young",2016,3,27,87,"spring",-110.526312951103,44.9827295356747
"53","5519","elk",2016-12-08,526916,4985274,"unk",2016,12,8,343,"fall",-110.658371405895,45.0204058757704
"54","33081","mule deer",2016-12-10,545081,4978635,"unk",2016,12,10,345,"fall",-110.428417467444,44.9597225898106
"55","8015","other",2017-01-05,548411,4970471,"yearling",2017,1,5,5,"winter",-110.38698073856,44.8860149686224
"56","8042","bh sheep",2017-01-16,563671,4972380,"adult",2017,1,16,16,"winter",-110.193522967338,44.9019976297877
"57","4069","bh sheep",2017-01-21,564444,4969632,"unk",2017,1,21,21,"winter",-110.184082693985,44.8771928094196
"58","8151","mule deer",2017-02-01,538951,4981752,"young",2017,2,1,32,"winter",-110.505895811593,44.9881432168552
"59","4140","mule deer",2017-02-16,533405,4982061,"unk",2017,2,16,47,"winter",-110.576225770475,44.9912074442914
"60","5618","unk deer",2017-02-18,543502,4979035,"unk",2017,2,18,49,"winter",-110.448402180902,44.9634216590818
"61","8169","mule deer",2017-02-20,532619,4983801,"unk",2017,2,20,51,"winter",-110.586083910183,45.0069069540399
"62","8176","mule deer",2017-02-26,543728,4978380,"unk",2017,2,26,57,"winter",-110.445593459655,44.9575117560411
"63","8140","elk",2017-02-27,536708,4980690,"adult",2017,2,27,58,"winter",-110.53442529977,44.9787030128113
"64","8149","mule deer",2017-02-27,538911,4981655,"young",2017,2,27,58,"winter",-110.506410697564,44.9872722546076
"65","5638","mule deer",2017-02-27,543786,4977972,"yearling",2017,2,27,58,"winter",-110.444893549606,44.9538355417872
"66","4191","elk",2017-02-28,531209,4985066,"adult",2017,2,28,59,"winter",-110.603897063814,45.0183575376619
"67","9147","mule deer",2017-03-01,534675,4981507,"adult",2017,3,1,60,"winter",-110.560153220137,44.9861595962086
"68","5629","porcupine",2017-03-01,536476,4973715,"adult",2017,3,1,60,"winter",-110.537871777584,44.9159279949982
"69","5663","unk deer",2017-03-01,539757,4980799,"young",2017,3,1,60,"winter",-110.495747081419,44.979519997036
"70","5678","mule deer",2017-03-14,532080,4983754,"unk",2017,3,14,73,"winter",-110.592926328161,45.0065084581879
"71","19-055","mule deer",2019-03-01,518433,4984789,"young",2019,3,1,60,"winter",-110.766057694047,45.0163113118751
"72","19-071","elk",2019-02-28,533829,4969485,"adult",2019,2,28,59,"winter",-110.571689414361,44.8779809962684
"73","19-074","mule deer",2019-03-05,514876,4987807,"young",2019,3,5,64,"winter",-110.811111726929,45.0435623871759
"74","19-082","mule deer",2019-02-24,529738,4985342,"adult",2019,2,24,55,"winter",-110.622550177217,45.0209052329927
"75","19-083","mule deer",2019-03-04,529716,4985298,"young",2019,3,4,63,"winter",-110.622832006813,45.020510080752
"76","19-084","elk",2019-02-25,529369,4985105,"yearling",2019,2,25,56,"winter",-110.62724745591,45.0187872117088
"77","19-096","porcupine",2019-03-02,533376,4969691,"adult",2019,3,2,61,"winter",-110.57741113844,44.8798567478519
"78","19-099","mule deer",2019-03-16,526170,4986879,"adult",2019,3,16,75,"winter",-110.667756204448,45.0348815859167
"79","19-102","mule deer",2019-03-11,535541,4983021,"adult",2019,3,11,70,"winter",-110.549061621967,44.9997452731348
"80","19-103","elk",2019-03-12,536920,4982679,"yearling",2019,3,12,71,"winter",-110.531590753795,44.9965962927224
"81","19-104","elk",2019-03-16,534139,4982380,"young",2019,3,16,75,"winter",-110.566892917324,44.9940440502009
"82","19-106","mule deer",2019-02-22,526238,4986968,"young",2019,2,22,53,"winter",-110.66688827045,45.0356802241938
"83","19-107","mule deer",2019-02-23,526163,4986905,"young",2019,2,23,54,"winter",-110.667843718213,45.0351158891377
"84","19-108","mule deer",2019-03-05,526172,4986824,"young",2019,3,5,64,"winter",-110.667733678679,45.0343864174114
"85","19-109","elk",2019-03-05,526218,4986510,"young",2019,3,5,64,"winter",-110.667166079939,45.0315581759519
"86","19-110","elk",2019-02-15,526207,4986423,"adult",2019,2,15,46,"winter",-110.667310258221,45.0307754326855
"87","19-111","mule deer",2019-02-25,526168,4986410,"young",2019,2,25,56,"winter",-110.667806019732,45.0306598513781
"88","19-112","elk",2019-02-22,526147,4986391,"young",2019,2,22,53,"winter",-110.668073591776,45.0304895936654
"89","19-113","mule deer",2019-03-03,526150,4986385,"adult",2019,3,3,62,"winter",-110.66803582075,45.0304354726091
"90","19-115","elk",2019-03-02,526265,4986442,"young",2019,3,2,61,"winter",-110.666572985623,45.0309443182645
"91","19-120","elk",2019-03-11,526158,4986440,"yearling",2019,3,11,70,"winter",-110.667931402663,45.0309302723624
"92","19-121","mule deer",2019-03-21,527064,4986251,"young",2019,3,21,80,"spring",-110.656440364377,45.0291949273415
"93","19-122","mule deer",2019-03-18,527567,4986276,"adult",2019,3,18,77,"winter",-110.650053857907,45.0294005835704
"94","19-123","mule deer",2019-03-22,526737,4986374,"young",2019,3,22,81,"spring",-110.660584796558,45.0303145508595
"95","19-124","mule deer",2019-03-24,525313,4986164,"yearling",2019,3,24,83,"spring",-110.678672174533,45.0284764786042
"96","19-125","elk",2019-03-12,527396,4986191,"yearling",2019,3,12,71,"winter",-110.6522291912,45.0286420685603
"97","19-133","elk",2019-03-20,528837,4985514,"young",2019,3,20,79,"winter",-110.63397602493,45.0224907494771
"98","19-135","mule deer",2019-03-17,528609,4986147,"young",2019,3,17,76,"winter",-110.636833912015,45.0281980675025
"99","19-137","mule deer",2019-03-01,526220,4986800,"young",2019,3,1,60,"winter",-110.667125557979,45.0341686016033
"100","19-138","mule deer",2019-03-05,526222,4986790,"young",2019,3,5,64,"winter",-110.667100689418,45.0340785103863
"101","19-139","mule deer",2019-02-28,526244,4986851,"young",2019,2,28,59,"winter",-110.66681820866,45.0346268008652
"102","19-140","mule deer",2019-03-09,526495,4987512,"young",2019,3,9,68,"winter",-110.663596820072,45.0405675918779
"103","19-143","mule deer",2019-03-27,527910,4982662,"young",2019,3,27,86,"spring",-110.645900298637,44.9968548920525
"104","19-144","elk",2019-03-12,526777,4978457,"young",2019,3,12,71,"winter",-110.660498079049,44.9590459718237
"105","19-145","elk",2019-03-24,526659,4978307,"young",2019,3,24,83,"spring",-110.662002086184,44.95770013407
"106","19-148","mule deer",2019-03-16,540416,4981851,"yearling",2019,3,16,75,"winter",-110.487304668927,44.9889524611954
"107","19-149","elk",2019-03-18,540914,4981331,"young",2019,3,18,77,"winter",-110.481029808718,44.9842431062559
"108","19-155","mule deer",2019-03-28,531085,4985095,"young",2019,3,28,87,"spring",-110.605469034962,45.0186240340131
"109","19-156","elk",2019-03-29,528844,4985893,"young",2019,3,29,88,"spring",-110.633865430594,45.0259021107745
"110","16-239","elk",2016-03-16,544962,4979045,"old adult",2016,3,16,76,"winter",-110.429889644628,44.9634207630615
"111","16-300","elk",2016-05-23,544609,4978406,"young",2016,5,23,144,"spring",-110.43442191915,44.9576910282268
"112","16-301","marmot",2016-06-05,545034,4977263,"adult",2016,6,5,157,"spring",-110.429135806007,44.9473754399684
"113","16-302","marmot",2016-06-12,544444,4977437,"unk",2016,6,12,164,"spring",-110.436599132706,44.9489788523785
"114","16-303","marmot",2016-06-14,545005,4977447,"adult",2016,6,14,166,"spring",-110.429486992943,44.9490335642978
"115","16-304","elk",2016-05-15,542532,4979535,"young",2016,5,15,136,"spring",-110.460658887456,44.9679811911565
"116","16-305","elk",2016-06-05,579503,4965734,"young",2016,6,5,157,"spring",-109.994060354914,44.8405866757221
"117","16-306","fox",2016-06-17,543811,4978627,"adult",2016,6,17,169,"spring",-110.444519739111,44.959730030378
"118","16-307","elk",2016-05-23,565906,4988856,"old adult",2016,5,23,144,"spring",-110.163062145098,45.0500947899879
"119","16-308","elk",2016-06-28,544676,4976217,"young",2016,6,28,180,"summer",-110.433766259971,44.9379823834012
"120","16-309","marmot",2016-07-08,544822,4977228,"adult",2016,7,8,190,"summer",-110.431826155789,44.9470737862258
"121","16-310","unk deer",2016-06-25,544788,4976166,"young",2016,6,25,177,"summer",-110.432351339506,44.9375162560126
"122","16-311","marmot",2016-06-24,544781,4976203,"unk",2016,6,24,176,"summer",-110.432436772941,44.9378497555219
"123","16-312","marmot",2016-07-06,544466,4976552,"adult",2016,7,6,188,"summer",-110.43639821752,44.9410110798473
"124","16-313","marmot",2016-06-18,608196,4952744,"adult",2016,6,18,170,"spring",-109.633861837248,44.7199061651201
"125","16-314","mule deer",2016-07-05,613663,4960366,"adult",2016,7,5,187,"summer",-109.563154771291,44.7876537648939
"126","16-315","elk",2016-06-26,582189,4952879,"yearling",2016,6,26,178,"summer",-109.96215556482,44.7245771435272
"127","16-316","mule deer",2016-07-15,545387,4978741,"young",2016,7,15,197,"summer",-110.42452834674,44.9606572693736
"128","16-317","fox",2016-07-17,545117,4978550,"unk",2016,7,17,199,"summer",-110.427968648526,44.9589551734352
"129","16-318","cottontail",2016-06-17,618159,4954579,"unk",2016,6,17,169,"spring",-109.507680031667,44.7348460371371
"130","16-319","mule deer",2016-11-19,542030,4978286,"young",2016,11,19,324,"fall",-110.467128476197,44.9567680816527
"131","16-320","elk",2016-11-28,542612,4978744,"young",2016,11,28,333,"fall",-110.459711306021,44.9608561441461
"132","16-321","elk",2016-11-23,543464,4977987,"young",2016,11,23,328,"fall",-110.448974292257,44.9539903341795
"133","16-322","mule deer",2016-11-17,541195,4977198,"young",2016,11,17,322,"fall",-110.477803284797,44.9470232132914
"134","16-323","elk",2016-11-14,543723,4977031,"young",2016,11,14,319,"fall",-110.445773733307,44.9453689295947
"135","16-324","mule deer",2016-11-22,543929,4977810,"young",2016,11,22,327,"fall",-110.443094825671,44.9523684605458
"136","16-325","unk deer",2016-12-02,544557,4976171,"young",2016,12,2,337,"fall",-110.435278478322,44.9375757781076
"137","16-326","elk",2016-12-03,543806,4977988,"yearling",2016,12,3,338,"fall",-110.444638618082,44.9539783343324
"138","16-327","mule deer",2016-12-12,546104,4977878,"young",2016,12,12,347,"fall",-110.415516685592,44.9528427826647
"139","16-328","elk",2016-01-22,542427,4978628,"young",2016,1,22,22,"winter",-110.462066623168,44.9598230320691
"140","16-329","elk",2016-02-03,544337,4977389,"young",2016,2,3,34,"winter",-110.437959685254,44.9485534600323
"141","16-330","elk",2016-02-07,544256,4977607,"young",2016,2,7,38,"winter",-110.438967319779,44.9505208517957
"142","16-331","elk",2016-02-12,538362,4982493,"young",2016,2,12,43,"winter",-110.5133107175,44.9948454943126
"143","16-332","elk",2016-02-14,539153,4982449,"old adult",2016,2,14,45,"winter",-110.503279289884,44.9944062188225
"144","16-333","mule deer",2016-02-17,540790,4981893,"young",2016,2,17,48,"winter",-110.482557100038,44.9893091308154
"145","16-334","mule deer",2016-02-18,541054,4981193,"adult",2016,2,18,49,"winter",-110.479265309788,44.9829928048706
"146","16-335","elk",2016-02-24,540412,4981223,"yearling",2016,2,24,55,"winter",-110.487405792498,44.9832996915947
"147","16-336","wt deer",2016-02-20,540850,4980765,"young",2016,2,20,51,"winter",-110.481887469211,44.9791518938087
"148","16-337","elk",2016-02-21,540306,4978479,"yearling",2016,2,21,52,"winter",-110.488969661827,44.958605288689
"149","16-338","elk",2016-03-01,542522,4978723,"young",2016,3,1,61,"winter",-110.46085415938,44.9606725034666
"150","16-339","elk",2016-03-06,546844,4976507,"young",2016,3,6,66,"winter",-110.406263075434,44.9404532924972
"151","16-340","elk",2016-03-10,543837,4977139,"young",2016,3,10,70,"winter",-110.444319374799,44.946334079542
"152","16-341","elk",2016-03-15,543264,4978580,"young",2016,3,15,75,"winter",-110.451458870701,44.9593404778627
"153","16-342","elk",2016-03-26,539703,4980465,"adult",2016,3,26,86,"spring",-110.496458272361,44.9765164800127
"154","16-343","mule deer",2016-03-27,537345,4981141,"young",2016,3,27,87,"spring",-110.526312951103,44.9827295356747
"155","16-344","elk",2016-12-14,547539,4975955,"young",2016,12,14,349,"fall",-110.397506559494,44.9354383146496
"156","17-316","elk",2017-02-18,535118,4981921,"old adult",2017,2,18,49,"winter",-110.554505139002,44.9898645089501
"157","17-317","elk",2017-02-26,534177,4982595,"young",2017,2,26,57,"winter",-110.566396246434,44.9959775814794
"158","17-318","mule deer",2017-03-01,542777,4978668,"adult",2017,3,1,60,"winter",-110.457625767074,44.9601621073934
"159","17-319","elk",2017-03-02,534384,4982305,"young",2017,3,2,61,"winter",-110.563789917268,44.9933570950324
"160","17-320","elk",2017-03-04,543560,4978884,"young",2017,3,4,63,"winter",-110.44767982743,44.9620588681267
"161","17-321","elk",2017-03-08,534493,4982408,"young",2017,3,8,67,"winter",-110.562400081002,44.9942789774681
"162","17-323","elk",2017-03-10,545577,4978630,"young",2017,3,10,69,"winter",-110.422129447685,44.9596459352498
"163","17-324","mule deer",2017-03-13,527518,4977401,"unk",2017,3,13,72,"winter",-110.651160807981,44.9495117219011
"164","17-325","mule deer",2017-03-14,546707,4976663,"unk",2017,3,14,73,"winter",-110.407984994745,44.9418665466599
"165","17-326","mule deer",2017-03-16,534974,4982376,"young",2017,3,16,75,"winter",-110.556300216809,44.993967379605
"166","17-327","elk",2017-03-18,537696,4983258,"yearling",2017,3,18,77,"winter",-110.521702512,45.001767424161
"167","17-328","elk",2017-03-17,544708,4975868,"yearling",2017,3,17,76,"winter",-110.433391600591,44.9348388180703
"168","17-329","mule deer",2017-03-25,540556,4978867,"unk",2017,3,25,84,"spring",-110.48576889998,44.9620836928901
"169","17-330","elk",2017-03-26,534990,4981425,"young",2017,3,26,85,"spring",-110.556163311457,44.9854059999391
"170","17-331","elk",2017-04-03,533830,4980562,"young",2017,4,3,93,"spring",-110.570935058478,44.9776937648746
"171","17-332","grouse",2017-05-11,538310,4981737,"unk",2017,5,11,131,"spring",-110.514027919291,44.9880430818232
"172","17-333","elk",2017-05-11,539920,4963374,"adult",2017,5,11,131,"spring",-110.495054628961,44.8226556604784
"173","17-334","elk",2017-05-17,537389,4975732,"yearling",2017,5,17,137,"spring",-110.526155786574,44.9340371088127
"174","17-336","elk",2017-05-23,534190,4979179,"young",2017,5,23,143,"spring",-110.566463120497,44.9652271495279
"175","17-338","elk",2017-05-24,543062,4962326,"old adult",2017,5,24,144,"spring",-110.455402222503,44.8130391366002
"176","17-339","elk",2017-05-25,531219,4982109,"young",2017,5,25,145,"spring",-110.603953599537,44.9917390598463
"177","17-340","marmot",2017-05-28,529807,4979533,"adult",2017,5,28,148,"spring",-110.62201831866,44.9686112332708
"178","17-341","elk",2017-05-28,541997,4963783,"young",2017,5,28,148,"spring",-110.468750083162,44.8262182273505
"179","17-342","elk",2017-05-29,529905,4982277,"young",2017,5,29,149,"spring",-110.620612743381,44.9933079420498
"180","17-343","mule deer",2017-05-30,528647,4983146,"young",2017,5,30,150,"spring",-110.636522474635,45.00118236388
"181","17-344","elk",2017-05-31,527259,4984636,"young",2017,5,31,151,"spring",-110.654052575576,45.014649663302
"182","17-345","pronghorn",2017-06-02,527081,4985134,"young",2017,6,2,153,"spring",-110.656284737939,45.0191393493696
"183","17-346","mule deer",2017-06-02,530296,4961770,"adult",2017,6,2,153,"spring",-110.61688042099,44.8086897703351
"184","17-347","elk",2017-06-03,527146,4984750,"young",2017,6,3,154,"spring",-110.655480493793,45.0156801967079
"185","17-348","elk",2017-06-05,525842,4984762,"young",2017,6,5,156,"spring",-110.672029124979,45.0158369421569
"186","17-349","elk",2017-06-06,529825,4982194,"young",2017,6,6,157,"spring",-110.62163255072,44.9925641644354
"187","17-350","mule deer",2017-06-07,528094,4955737,"adult",2017,6,7,158,"spring",-110.645059010923,44.7544701216265
"188","17-351","mule deer",2017-06-07,528094,4955737,"young",2017,6,7,158,"spring",-110.645059010923,44.7544701216265
"189","17-352","pronghorn",2017-06-08,534287,4979297,"adult",2017,6,8,159,"spring",-110.565225150449,44.9662846769971
"190","17-353","elk",2017-06-11,526859,4955914,"young",2017,6,11,162,"spring",-110.660652457498,44.7561109292539
"191","17-354","mule deer",2017-06-13,537872,4980389,"adult",2017,6,13,164,"spring",-110.51968519344,44.975932379948
"192","17-355","elk",2017-06-14,538001,4981257,"young",2017,6,14,165,"spring",-110.517983735353,44.983738911117
"193","17-356","elk",2017-06-15,536940,4981682,"young",2017,6,15,166,"spring",-110.531410158554,44.9876206186647
"194","17-357","mule deer",2017-06-15,527423,4962748,"adult",2017,6,15,166,"spring",-110.653158567917,44.8176098817883
"195","17-358","mule deer",2017-06-18,541189,4979332,"young",2017,6,18,169,"spring",-110.477705107211,44.9662330207578
"196","17-359","mule deer",2017-06-18,529990,4965163,"adult",2017,6,18,169,"spring",-110.620549662284,44.8392464993389
